Rsex,ReligSum,SupParty,ClosePty,PartyIDN,Politics,Spend1,TaxSpend,AnyBN3,Dole,dolefidl,sochelp,welfhelp,damlives,proudwlf,redistrb,richlaw,wealth,Indust4,BigBusnn,NatIdGB,tradvals,stifsent,NHSSat,ECPolicy2,EURefV2,EURefb,CovWk1,CovWk2,CovWk3,deathapp,censor,wronglaw
Male,Other Christian, No,Yes,Labour,2,Housing,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,5,4,5,1,1,1,1,1,1,2,not British,2,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,2,2
Male,Other Christian,Yes,Item not applicable,Conservative,2,Help for industry,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too high and disc,3,4,2,4,4,5,5,5,4,5,More (English/Scottish/Welsh) than British,3,2,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,5,5,2,2,2
Male,No religion,Yes,Item not applicable,Conservative,2,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,4,2,2,3,3,4,2,4,4,3,Equally (English/Scottish/Welsh) and British,1,2,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,2,2
Female,No religion, No, No,Labour,3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,4,4,2,2,3,4,2,2,5,2,Equally (English/Scottish/Welsh) and British,2,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,3,2,2
Male,No religion, No,Yes,Labour,3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,4,3,2,3,4,4,3,3,2,not British,4,2,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,2,4,2
Female,Other Christian, No, No,Labour,4,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,3,4,3,3,2,4,4,2,3,2,British not (English/Scottish/Welsh),4,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,3,2,2,2
Male,Other Christian, No, No,Conservative,3,Overseas aid,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,3,4,2,2,3,3,2,3,3,3,Equally (English/Scottish/Welsh) and British,2,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,4,3,3
Male,Church of England,Yes,Item not applicable,Conservative,3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,4,3,1,2,3,3,3,2,not British,2,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,3,2
Female,Church of England,Yes,Item not applicable,Conservative,3,Defence,Keep taxes and spending on these services at the same level,No,"BOTH: UNEMPLOYMENT BENEFIT CAUSES HARDSHIP TO SOME, WHILE OT",3,3,4,3,1,3,3,3,3,2,Equally (English/Scottish/Welsh) and British,3,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,3,4,1,3,2
Female,Other Christian, No, No,none ,4,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,3,3,3,3,2,3,3,3,Equally (English/Scottish/Welsh) and British,3,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,3,2,3
Male,Other Christian, No, No,none ,4,Help for industry,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,3,3,3,3,2,3,3,3,Equally (English/Scottish/Welsh) and British,3,3,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,3,3,3
Male,No religion, No,Yes,Conservative,2,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,4,4,2,2,1,1,1,1,2,1,not British,2,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,2,2,4
Female,No religion, No, No,none ,5,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,3,3,3,3,3,2,2,3,Equally (English/Scottish/Welsh) and British,1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,3,2,2,4
Male,No religion, No, No,none ,5,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,2,2,3,4,4,3,3,2,2,3,Equally (English/Scottish/Welsh) and British,2,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,3,1,3,3
Male,Other Christian, No,Yes,Conservative,2,Defence,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,3,2,3,1,4,4,3,3,2,not British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,2,4
Female,Other Christian, No,Yes,Labour,3,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,2,2,2,2,4,3,3,2,3,not British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,3,4
Female,No religion,Yes,Item not applicable,Conservative,2,Health,Keep taxes and spending on these services at the same level,Yes,"BOTH: UNEMPLOYMENT BENEFIT CAUSES HARDSHIP TO SOME, WHILE OT",4,3,4,2,2,5,3,4,4,4,Equally (English/Scottish/Welsh) and British,1,2,Very dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,3,2
Male,No religion, No, No,none ,2,Housing,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,3,4,4,2,3,2,1,1,1,2,Equally (English/Scottish/Welsh) and British,5,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,5,5
Female,No religion, No, No,none ,3,Education,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,3,4,4,2,4,3,2,1,1,1,Other,4,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,4,2
Female,Other Christian,Yes,Item not applicable,Plaid Cymru,1,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,4,5,4,1,3,3,1,2,2,1,not British,3,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,4,3
Male,No religion, No, No,none ,1,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,5,5,4,1,1,2,1,1,2,1,Other,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,4,4
Male,Other Christian, No,Yes,Plaid Cymru,2,Education,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too high and disc,2,2,4,3,2,3,1,1,4,2,not British,1,1,Very dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,4,1,2,4
Female,Other Christian,Yes,Item not applicable,Labour,3,Social security benefits,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,4,4,3,2,2,2,2,2,2,2,British not (English/Scottish/Welsh),3,3,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,3,2
Female,Other Christian, No, No,none ,5,Health,Keep taxes and spending on these services at the same level,Yes,Neither,3,2,2,3,1,4,2,2,3,4,British not (English/Scottish/Welsh),2,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,2,3
Female,No religion, No, No,none ,5,Roads,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,2,2,4,3,3,5,2,2,1,4,British not (English/Scottish/Welsh),1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,5,5,1,4,2
Male,Other Christian, No, No,Refusal,4,Defence,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,3,3,2,3,2,2,4,2,Equally (English/Scottish/Welsh) and British,1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,1,3,4
Male,No religion,Yes,Item not applicable,Liberal Democrat,3,Education,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,3,3,4,2,3,1,4,2,3,1,British not (English/Scottish/Welsh),4,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,2,2,4
Female,Other Christian, No,Yes,Labour,5,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,2,3,3,3,3,3,3,2,2,3,Equally (English/Scottish/Welsh) and British,2,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,3,2,3,3,2
Male,No religion, No, No,UK Independence Party (UKIP),3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,1,1,3,5,5,2,2,1,1,1,Equally (English/Scottish/Welsh) and British,1,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",2,2,2,1,3,3
Female,No religion,Yes,Item not applicable,Labour,1,Housing,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too low and cause hardship,4,4,4,2,2,4,2,1,3,1,More (English/Scottish/Welsh) than British,4,4,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,5,5,5,5,3
Female,Other Christian, No,Yes,Conservative,3,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,3,4,3,2,2,4,4,3,3,3,Equally (English/Scottish/Welsh) and British,4,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,4,4,2,4,4
Male,No religion,Yes,Item not applicable,Labour,3,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,3,4,4,2,1,3,1,2,1,1,More (English/Scottish/Welsh) than British,2,2,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,4,3
Male,Other Christian, No, No,none ,5,Health,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too low and cause hardship,3,4,3,3,3,3,3,3,3,3,Other,2,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,3,5
Male,Other Christian, No,Yes,Conservative,2,Education,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too high and disc,2,1,2,5,5,2,3,2,1,3,Other,1,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,4,1,5
Female,No religion, No,Yes,Labour,2,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,3,3,3,2,3,2,2,2,3,2,not British,2,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,4,2,3
Male,No religion, No,Yes,Labour,3,Roads,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,4,2,2,4,3,3,2,3,More (English/Scottish/Welsh) than British,2,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,3,2
Female,No religion, No, No,none ,4,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,4,3,3,2,5,3,3,2,4,More (English/Scottish/Welsh) than British,2,2,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,5,5,2,2,3
Male,Church of England,Yes,Item not applicable,Labour,1,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,3,4,5,2,1,1,2,1,2,1,Equally (English/Scottish/Welsh) and British,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,2,4
Female,Roman Catholic,Yes,Item not applicable,Labour,1,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,3,3,3,2,2,1,1,1,1,1,Equally (English/Scottish/Welsh) and British,2,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,1,2
Male,No religion,Yes,Item not applicable,Labour,1,Social security benefits,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,5,4,4,1,1,2,2,2,3,1,Equally (English/Scottish/Welsh) and British,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,5,5,3,5,3
Female,No religion, No,Yes,Labour,2,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,4,2,2,2,2,1,1,3,1,British not (English/Scottish/Welsh),4,4,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,5,2,2
Female,No religion, No, No,Liberal Democrat,3,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,4,2,3,2,4,2,2,2,3,More (English/Scottish/Welsh) than British,1,1,Very dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,4,5,4,4,2
Male,No religion, No,Yes,UK Independence Party (UKIP),3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,2,4,4,4,1,4,2,4,1,4,Equally (English/Scottish/Welsh) and British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,4,4
Male,Other Christian,Yes,Item not applicable,Scottish National Party,3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,2,3,2,4,1,3,3,1,British not (English/Scottish/Welsh),1,1,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,2,1
Female,No religion, No,Yes,Scottish National Party,1,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,3,3,2,1,2,1,1,4,1,More (English/Scottish/Welsh) than British,2,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,2,3
Female,Other Christian,Yes,Item not applicable,Scottish National Party,1,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,4,4,4,1,1,3,3,4,4,4,More (English/Scottish/Welsh) than British,3,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,3,2
Male,No religion,Yes,Item not applicable,Scottish National Party,2,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,4,4,4,2,2,2,1,1,2,1,More (English/Scottish/Welsh) than British,3,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,3,2
Male,No religion, No, No,none ,5,Help for industry,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,3,4,4,2,3,4,2,2,4,4,not British,4,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,2,4,2
Female,No religion, No, No,none ,5,Help for industry,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,4,4,3,3,3,5,3,2,4,4,not British,4,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,2,2,2
Female,No religion,Yes,Item not applicable,Scottish National Party,2,Housing,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,5,5,4,2,3,2,1,2,2,2,not British,3,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,5,4,2
Female,No religion,Yes,Item not applicable,Scottish National Party,1,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,4,5,4,1,2,1,1,1,2,1,not British,1,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,5,3,2
Male,Other Christian, No, No,Scottish National Party,2,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,3,3,2,2,4,3,2,3,2,More (English/Scottish/Welsh) than British,2,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,2,3
Female,No religion,Yes,Item not applicable,Scottish National Party,3,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,5,5,1,1,2,1,1,1,1,1,not British,2,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,5,3
Female,Roman Catholic, No,Yes,Labour,2,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,1,2,2,2,1,2,1,2,2,2,Equally (English/Scottish/Welsh) and British,2,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,2,2
Female,Non-Christian,Yes,Item not applicable,Labour,2,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,4,2,1,1,2,2,2,2,2,Equally (English/Scottish/Welsh) and British,1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,1,1
Female,No religion, No,Yes,Conservative,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,4,2,3,3,4,2,2,2,4,Equally (English/Scottish/Welsh) and British,2,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,3,3,3
Male,Other Christian, No,Yes,Scottish National Party,2,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,2,5,4,4,1,4,5,4,4,4,British not (English/Scottish/Welsh),1,1,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,1,2
Female,No religion, No,Yes,Scottish National Party,3,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,2,3,3,2,4,3,3,3,3,not British,3,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,3,2
Male,No religion,Yes,Item not applicable,none ,1,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,5,4,4,2,1,4,1,1,1,1,not British,4,3,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,2,2,5,4,4
Female,Roman Catholic, No, No,UK Independence Party (UKIP),3,Housing,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,3,5,3,1,3,1,1,1,1,3,Equally (English/Scottish/Welsh) and British,1,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,3,3
Male,No religion,Yes,Item not applicable,Conservative,3,Defence,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,4,4,5,1,3,4,1,1,2,2,not British,1,1,Very dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,4,1,3,3
Male,No religion,Yes,Item not applicable,Conservative,4,Police and prisons,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,2,1,1,3,1,4,1,1,1,1,British not (English/Scottish/Welsh),1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,1,2,1
Female,No religion, No, No,Conservative,3,Police and prisons,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,4,2,3,4,2,4,2,2,3,2,British not (English/Scottish/Welsh),1,1,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,4,4,4,4,1
Female,No religion,Yes,Item not applicable,Scottish National Party,2,Housing,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too high and disc,3,2,1,4,5,5,1,4,3,3,not British,2,2,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,4,4,1,5,4
Male,No religion, No, No,none ,4,Help for industry,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too high and disc,1,1,1,5,5,5,2,4,2,2,More (English/Scottish/Welsh) than British,3,1,Very satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,5,4
Female,No religion, No, No,none ,3,Health,Don’t know,Yes,benefits for unemployed people are too high and disc,1,2,1,3,3,5,1,1,3,3,Equally (English/Scottish/Welsh) and British,3,1,Don’t know,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,1,2,2
Male,No religion, No, No,Conservative,3,Education,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,4,3,4,5,4,2,2,4,2,Equally (English/Scottish/Welsh) and British,2,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,1,2,2
Male,No religion, No,Yes,Scottish National Party,3,Help for industry,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,3,4,4,2,1,3,1,1,2,1,not British,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,4,4,3
Female,Roman Catholic,Yes,Item not applicable,Scottish National Party,3,Health,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause hardship,5,5,3,1,1,3,1,2,1,1,not British,2,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,1,3,3
Male,No religion, No, No,Conservative,2,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,1,1,1,4,4,2,2,2,3,2,Equally (English/Scottish/Welsh) and British,1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,1,4,4
Female,No religion, No, No,Labour,4,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,3,3,2,2,2,3,3,2,2,4,Equally (English/Scottish/Welsh) and British,3,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,2,2,2,4
Female,Roman Catholic, No, No,none ,5,Health,"Reduce taxes and spend less on health, education and soc",No,benefits for unemployed people are too low and cause hardship,3,5,3,2,2,4,2,2,4,4,More (English/Scottish/Welsh) than British,4,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,5,5,2,3,3
Male,Other Christian, No, No,Green Party,3,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,2,4,4,2,1,2,1,2,2,1,More (English/Scottish/Welsh) than British,2,2,Very dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,3,4
Female,Church of England,Yes,Item not applicable,Scottish National Party,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,2,4,1,2,2,2,1,2,1,1,not British,1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,2,4
Female,Roman Catholic,Yes,Item not applicable,Labour,1,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,5,5,5,1,1,1,1,1,2,1,More British than (English/Scottish/Welsh),4,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,5,5,5,4,4
Male,No religion, No,Yes,Green Party,1,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,5,5,5,1,1,2,1,1,2,2,More British than (English/Scottish/Welsh),3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",5,4,3,5,3,3
Female,No religion,Yes,Item not applicable,Scottish National Party,2,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,4,4,4,2,2,2,2,2,4,2,More (English/Scottish/Welsh) than British,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,3,4
Female,Non-Christian,Yes,Item not applicable,Conservative,4,Health,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too high and disc,1,2,3,5,5,5,3,1,3,3,More (English/Scottish/Welsh) than British,2,1,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",3,5,4,2,3,1
Male,Non-Christian, No, No,none ,5,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,1,1,3,5,5,5,2,3,3,5,not British,1,1,Neither satisfied nor dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,3,3,3
Male,Other Christian,Yes,Item not applicable,Scottish National Party,3,Housing,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause hardship,4,4,4,1,2,2,1,2,3,3,not British,3,3,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,4,5,4
Female,No religion,Yes,Item not applicable,Scottish National Party,3,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause hardship,4,4,4,2,3,4,4,4,4,4,not British,4,2,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,4,4,2
Male,No religion, No,Yes,Liberal Democrat,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,4,4,3,2,3,2,2,3,3,2,Equally (English/Scottish/Welsh) and British,4,3,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,4,5,3
Male,No religion,Yes,Item not applicable,Liberal Democrat,1,Housing,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,4,4,4,2,2,2,1,1,2,1,More British than (English/Scottish/Welsh),2,3,Quite dissatisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",4,4,4,5,5,4
Male,No religion,Yes,Item not applicable,Scottish National Party,2,Education,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause hardship,3,2,4,1,2,1,1,1,1,1,not British,2,4,Quite satisfied,Item not applicable,"skip, didnt return SC questionnaire","skip, didnt return SC questionnaire",-1,-1,-1,2,4,4
