Rsex,ReligSum,SupParty,ClosePty,PartyIDN,Politics,Spend1,TaxSpend,AnyBN3,Dole,dolefidl,sochelp,welfhelp,damlives,proudwlf,redistrb,richlaw,wealth,indust4,BigBusnn,NatIdGB,tradvals,stifsent,EURefV2,EURefb,ECPolicy2,NHSSat,EUVOTWHO,deathapp,censor,wronglaw
Female,No religion, No, No,Labour,5,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,2,2,4,2,3,3,2,2,2,2,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,1,4,3
Female,No religion, No, No,,5,Health,,Yes,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,-1,-1,-1
Female,Other Christian, No, No,,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,1,3,2,3,2,2,1,2,2,1,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,1,2
Female,Church of England, No,Yes,Labour,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,4,3,3,4,2,3,4,3,2,2,Equally (English/Scottish/Welsh) and British,2,3,Yes,Leave the European Union,to leave the European Union,Very satisfied,Leave the European Union ,4,2,4
Male,Roman Catholic,Yes,Item not applicable,Conservative,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,5,4,2,1,2,2,2,3,2,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,1,2,4
Female,No religion, No, No,Don’t know,4,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,3,3,2,3,3,3,2,2,2,3,Equally (English/Scottish/Welsh) and British,1,1,Yes,Leave the European Union,to leave the European Union,Quite satisfied,Leave the European Union ,1,2,2
Female,Non-Christian,Yes,Item not applicable,Conservative,3,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,4,3,4,2,3,5,4,4,4,4,British not (English/Scottish/Welsh),3,3,Yes,Leave the European Union,to stay in the EU and try to reduce the EUs powers,Neither satisfied nor dissatisfied,Leave the European Union ,4,4,4
Female,Roman Catholic,Yes,Item not applicable,Conservative,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Don’t know,benefits for unemployed people are too high and disc,4,3,4,2,2,4,4,2,4,4,British not (English/Scottish/Welsh),2,2,Yes,Leave the European Union,to leave the European Union,Quite satisfied,Leave the European Union ,2,2,3
Female,No religion, No, No,Refused to say,5,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,4,2,2,3,5,5,3,2,1,Schedule not applicable,5,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,4,3,4
Male,No religion, No, No,,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,3,2,3,4,4,2,2,2,3,3,Schedule not applicable,2,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,4,3,2
Male,No religion,Yes,Item not applicable,Labour,1,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Other answer ,4,4,4,2,2,4,4,4,4,4,British not (English/Scottish/Welsh),3,3,Yes,Remain a member of the European Union,to leave things as they are,Very satisfied,Remain a member of the European Union ,5,2,3
Female,No religion, No, No,Don’t know,5,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause,4,3,3,1,3,3,1,2,2,3,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,1,3,3
Female,Roman Catholic, No,Yes,Conservative,2,Police and prisons,,Yes,Neither,3,4,4,2,2,3,4,3,3,3,Schedule not applicable,2,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,4,2,2
Male,No religion, No, No,,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,1,2,4,3,4,4,2,2,4,4,not British,1,1,No,I would not vote ,to stay in the EU and try to increase the EUs powers,Very dissatisfied,"skip, didnt return SC questionnaire",1,4,1
Female,No religion, No,Yes,Liberal Democrat,3,Health,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
Female,No religion, No,Yes,Labour,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Equally (English/Scottish/Welsh) and British,-1,-1,Yes,Leave the European Union,to leave the European Union,Quite satisfied,Leave the European Union ,-1,-1,-1
Female,No religion, No,Yes,Labour,4,Education,Keep taxes and spending on these services at the same level,No,Refusal,3,3,3,3,3,3,2,2,2,3,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,2,3
Female,Church of England,Yes,Item not applicable,Conservative,4,Schedule not applicable,,No,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,-1,-1,-1
Female,Other Christian,Yes,Item not applicable,Labour,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
Female,No religion,Don’t know,Yes,Liberal Democrat,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Equally (English/Scottish/Welsh) and British,-1,-1,Yes,Remain a member of the European Union,to leave things as they are,Quite satisfied,Remain a member of the European Union ,-1,-1,-1
Male,No religion,Yes,Item not applicable,Conservative,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,3,3,2,2,4,2,2,3,3,More British than (English/Scottish/Welsh),2,2,Yes,Prefer not to say,to stay in the EU and try to reduce the EUs powers,Quite satisfied,DK/Refusal ,5,3,2
Female,Church of England, No,Yes,Green Party,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,More British than (English/Scottish/Welsh),-1,-1,Yes,DK/Refusal ,to leave things as they are,Quite dissatisfied,Remain a member of the European Union ,-1,-1,-1
Male,Other Christian, No, No,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,Neither,3,3,3,3,2,3,3,3,3,3,More (English/Scottish/Welsh) than British,1,1,Yes,Remain a member of the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,Remain a member of the European Union ,3,2,2
Male,Other Christian, No, No,Conservative,1,Defence,"Increase tax and spend more on health, education and social benefits",Yes,Neither,4,3,3,4,3,4,2,3,3,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,1,1,1
Male,No religion, No,Yes,Conservative,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,3,3,3,4,3,2,2,2,2,2,Equally (English/Scottish/Welsh) and British,2,2,Yes,Leave the European Union,to leave the European Union,Quite satisfied,Leave the European Union ,2,3,2
Male,No religion, No, No,,3,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,3,4,4,2,3,4,2,3,3,2,Schedule not applicable,2,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,3,3
Male,Roman Catholic,Yes,Item not applicable,Labour,2,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,4,2,2,2,2,4,2,4,4,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,4,2,2
Male,No religion,Yes,Item not applicable,Labour,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,5,5,3,1,1,1,3,2,1,1,Schedule not applicable,4,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,5,4
Female,Other Christian, No,Yes,Labour,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,5,5,5,1,1,2,4,2,4,3,Equally (English/Scottish/Welsh) and British,4,3,Yes,Remain a member of the European Union,to stay in the EU and try to increase the EUs powers,Quite satisfied,Remain a member of the European Union ,5,2,2
Female,Church of England, No,Yes,Conservative,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,4,3,4,3,2,3,2,2,3,2,Equally (English/Scottish/Welsh) and British,3,3,Yes,Leave the European Union,to leave the European Union,Very satisfied,Leave the European Union ,3,3,3
Male,No religion, No, No,Liberal Democrat,4,Health,"Increase tax and spend more on health, education and social benefits",No,Neither,4,4,3,2,1,3,3,2,3,2,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,2,3
Male,No religion,Yes,Item not applicable,Conservative,3,Roads,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,2,3,2,3,3,3,3,3,4,4,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,3,3
Female,No religion, No, No,Plaid Cymru,3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause,3,3,3,2,3,4,3,4,3,3,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,1,3
Male,Roman Catholic,Yes,Item not applicable,Liberal Democrat,1,None of these,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause,4,3,3,2,2,3,3,2,3,2,Schedule not applicable,2,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,4,2,3
Female,Other Christian,Yes,Item not applicable,Conservative,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,Neither,3,4,4,5,5,1,1,2,1,2,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,1,1,3
Female,Non-Christian,Yes,Item not applicable,Conservative,3,Health,"Increase tax and spend more on health, education and social benefits",Yes,Don’t know,3,3,4,3,2,3,2,3,3,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,9,2,3
Female,Other Christian,Yes,Item not applicable,Labour,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,3,3,3,2,2,3,3,3,2,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,3,2,2
Female,No religion, No, No,,5,Health,Keep taxes and spending on these services at the same level,No,Neither,5,2,4,3,2,4,4,4,1,4,Schedule not applicable,4,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,3,4,5
Male,No religion, No,Yes,Liberal Democrat,1,Social security benefits,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,-1,-1,-1
Male,No religion, No, No,Don’t know,3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,not British,-1,-1,Don t remember,Remain a member of the European Union,to stay in the EU and try to increase the EUs powers,Quite satisfied,"skip, didnt return SC questionnaire",-1,-1,-1
Female,Non-Christian, No, No,Green Party,3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Don’t know,5,4,4,2,1,2,2,2,2,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,1,2,1
Male,No religion, No, No,,5,Social security benefits,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too low and cause,4,5,2,1,2,1,1,1,1,1,Schedule not applicable,2,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,5,4,2
Male,No religion, No, No,,5,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,3,4,3,3,4,5,4,3,3,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,1,3,3
Female,No religion,Yes,Item not applicable,Scottish National Party,2,Schedule not applicable,,Yes,benefits for unemployed people are too low and cause,4,4,5,1,1,4,2,1,3,1,not British,4,2,No,Remain a member of the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,"skip, didnt return SC questionnaire",4,3,3
Female,Other Christian, No, No,Conservative,3,Education,"Increase tax and spend more on health, education and social benefits",No,Other answer ,3,3,3,2,1,4,2,3,3,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,2,2,3
Male,Church of England,Yes,Item not applicable,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Equally (English/Scottish/Welsh) and British,-1,-1,Yes,Leave the European Union,to leave the European Union,Very dissatisfied,Leave the European Union ,-1,-1,-1
Female,Other Christian,Yes,Item not applicable,Labour,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,9,9,9,9,1,9,1,9,9,9,Equally (English/Scottish/Welsh) and British,9,9,No,Leave the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,"skip, didnt return SC questionnaire",9,1,9
Female,No religion, No, No,,5,Health,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,2,3,1,4,2,1,2,3,2,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very dissatisfied,Schedule not applicable,1,1,1
Female,No religion, No, No,,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,3,3,3,3,3,3,3,3,3,3,British not (English/Scottish/Welsh),1,2,No,Leave the European Union,to leave the European Union,Very dissatisfied,"skip, didnt return SC questionnaire",1,2,2
Male,Other Christian, No, No,,3,Education,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,3,2,2,4,4,2,2,2,2,2,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,1,1,3
Female,No religion, No, No,,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
Male,No religion, No, No,British National Party (BNP)/ National Front,5,Social security benefits,"Increase tax and spend more on health, education and social benefits",Refusal,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very dissatisfied,Schedule not applicable,-1,-1,-1
Female,No religion, No, No,Refused to say,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,1,1,3,3,3,5,1,1,1,5,Schedule not applicable,1,1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,9,9,1
Male,Church of England,Yes,Item not applicable,Conservative,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,-1,-1,-1
Male,No religion, No,Yes,,3,Health,,No,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,-1,-1,-1
Female,Non-Christian, No, No,,4,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
Male,No religion, No,Yes,Other party ,3,Roads,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,2,3,4,2,4,4,4,3,2,3,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,2,2,3
Female,Roman Catholic,Yes,Item not applicable,Liberal Democrat,3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Neither,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,-1,-1,-1
Female,Church of England, No,Yes,Conservative,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,1,2,4,2,4,1,2,3,3,Equally (English/Scottish/Welsh) and British,1,1,Yes,Leave the European Union,to stay in the EU and try to reduce the EUs powers,Very satisfied,Leave the European Union ,2,2,1
Female,Church of England,Yes,Item not applicable,Conservative,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Equally (English/Scottish/Welsh) and British,-1,-1,Yes,Remain a member of the European Union,to leave things as they are,Quite satisfied,Remain a member of the European Union ,-1,-1,-1
Female,No religion, No, No,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,Neither,3,4,4,2,2,3,2,2,2,1,Schedule not applicable,3,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very dissatisfied,Schedule not applicable,5,5,3
Male,No religion, No, No,UK Independence Party (UKIP),3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,3,2,2,3,4,5,4,2,4,3,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,4,1,1
Female,Other Christian,Yes,Item not applicable,Labour,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,Neither,2,3,4,2,1,3,1,2,2,2,not British,1,1,No,I would not vote ,to leave the European Union,Very satisfied,"skip, didnt return SC questionnaire",1,1,1
Female,Church of England,Yes,Item not applicable,Conservative,1,Schedule not applicable,,Yes,benefits for unemployed people are too high and disc,3,3,2,3,2,4,3,4,4,3,Schedule not applicable,2,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,4,3,4
Female,Other Christian, No,Yes,Liberal Democrat,1,Social security benefits,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,5,5,5,1,1,1,1,1,2,2,Schedule not applicable,4,5,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,5,5,3
Male,No religion, No, No,,5,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,-1,-1,-1
Female,Other Christian, No,Yes,Liberal Democrat,3,Education,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,4,4,2,2,3,2,3,4,4,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,4,3,3
Female,Church of England, No,Yes,Liberal Democrat,3,Health,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,5,5,4,1,1,1,1,2,3,1,Schedule not applicable,4,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,5,1,3
Female,No religion,Yes,Item not applicable,Labour,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,4,4,2,2,3,2,2,1,2,2,More (English/Scottish/Welsh) than British,4,2,Yes,Remain a member of the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,Remain a member of the European Union ,5,4,4
Male,Other Christian, No, No,Liberal Democrat,3,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Neither,3,3,4,3,2,4,2,2,2,3,not British,2,1,Yes,Remain a member of the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,Remain a member of the European Union ,2,2,3
Male,No religion, No,Yes,Conservative,2,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,2,2,3,4,4,4,2,2,4,3,More British than (English/Scottish/Welsh),2,1,Yes,Leave the European Union,to leave the European Union,Quite dissatisfied,Leave the European Union ,2,4,3
Female,No religion,Yes,Item not applicable,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,3,3,3,3,3,3,2,2,3,2,Schedule not applicable,1,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very dissatisfied,Schedule not applicable,4,2,3
Female,No religion,Yes,Item not applicable,Liberal Democrat,1,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,5,4,3,1,1,2,3,2,3,2,Schedule not applicable,4,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,4,4,3
Male,Other Christian,Yes,Item not applicable,Conservative,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,3,2,3,2,2,9,9,9,9,9,not British,9,9,Yes,Leave the European Union,to leave the European Union,Quite satisfied,Leave the European Union ,9,9,9
Male,Other Christian,Yes,Item not applicable,Labour,4,Education,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,2,3,2,1,1,1,2,2,2,Schedule not applicable,1,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,1,2,2
Male,Church of England,Yes,Item not applicable,Labour,3,Education,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
Female,Other Christian, No,Yes,Liberal Democrat,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too low and cause,3,3,3,2,2,3,3,2,2,3,Equally (English/Scottish/Welsh) and British,2,2,Yes,Remain a member of the European Union,to leave things as they are,Very satisfied,Remain a member of the European Union ,3,2,2
Male,No religion,Yes,Item not applicable,Labour,2,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,4,4,4,2,2,2,4,4,2,2,Schedule not applicable,4,4,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,2,2
Female,Roman Catholic,Yes,Item not applicable,Scottish National Party,2,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too low and cause,3,4,4,2,2,3,2,2,3,3,not British,3,3,Yes,Remain a member of the European Union,to stay in the EU and try to reduce the EUs powers,Very satisfied,Remain a member of the European Union ,5,2,2
Female,Roman Catholic, No, No,Don’t know,4,Schedule not applicable,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too high and disc,2,4,4,3,2,2,3,3,2,3,none,2,2,No,I would not vote ,to leave things as they are,Quite dissatisfied,"skip, didnt return SC questionnaire",2,2,2
Female,No religion, No, No,Don’t know,5,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,Don’t know,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Neither satisfied nor dissatisfied,Schedule not applicable,-1,-1,-1
Female,No religion, No, No,Don’t know,3,Schedule not applicable,"Increase tax and spend more on health, education and social benefits",No,benefits for unemployed people are too high and disc,4,4,2,2,2,2,2,2,2,2,Schedule not applicable,1,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,4,4,5
Male,Non-Christian, No, No,Labour,2,Schedule not applicable,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too low and cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,More British than (English/Scottish/Welsh),-1,-1,No,Leave the European Union,to stay in the EU and try to reduce the EUs powers,Quite satisfied,"skip, didnt return SC questionnaire",-1,-1,-1
Female,No religion,Yes,Item not applicable,Other party ,3,Defence,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too low and cause,4,5,5,2,3,4,3,3,2,2,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,2,2
Male,Non-Christian,Yes,Item not applicable,Labour,1,Schedule not applicable,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,British not (English/Scottish/Welsh),-1,-1,Yes,Remain a member of the European Union,to leave things as they are,Quite satisfied,Remain a member of the European Union ,-1,-1,-1
Male,No religion, No, No,Conservative,4,Police and prisons,Keep taxes and spending on these services at the same level,No,Neither,3,4,3,2,4,3,2,3,2,3,Schedule not applicable,2,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,5,3,3
Female,Other Christian, No,Yes,Conservative,3,Education,Keep taxes and spending on these services at the same level,Yes,benefits for unemployed people are too low and cause,3,3,3,3,3,3,3,3,3,3,Schedule not applicable,3,3,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,3,3,3
Male,No religion, No, No,Labour,4,Schedule not applicable,Keep taxes and spending on these services at the same level,No,benefits for unemployed people are too high and disc,4,4,3,2,3,2,2,1,2,2,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite dissatisfied,Schedule not applicable,4,2,1
Female,No religion, No,Yes,Other party ,3,Housing,"Increase tax and spend more on health, education and social benefits",Yes,benefits for unemployed people are too high and disc,2,4,3,2,2,3,4,4,4,4,Schedule not applicable,3,2,Schedule not applicable,Schedule not applicable,Schedule not applicable,Very satisfied,Schedule not applicable,4,2,4
Female,Other Christian, No, No,Refused to say,2,Police and prisons,"Reduce taxes and spend less on health, education and soc",Yes,benefits for unemployed people are too high and disc,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Schedule not applicable,-1,-1,Schedule not applicable,Schedule not applicable,Schedule not applicable,Quite satisfied,Schedule not applicable,-1,-1,-1
